ph_measurement;Temperature;Soil_Humidity;Electrical_conductivity(uS/cm);Target;
3;19,7;56,8;4,1;1;
5,7;21,8;96;4,3;0;
11,1;24,5;10,8;5,1;1;
4,2;20;24;6,1;1;
5,7;24,8;14,4;2,1;2;
7,2;31,4;5,6;4,3;1;
2,1;32;0,8;6,1;1;
8,7;23,6;77,2;6,1;0;
4,2;26,9;68;5,7;1;
10,8;24,8;76,8;5,1;0;
10,5;22,7;41,6;1,1;2;
3,6;28,1;30,8;5,1;1;
5,4;17,3;69,6;5,3;1;
1,8;18,5;96,4;5,9;0;
6,9;17;8,8;2,9;2;
4,5;31,7;44,8;2,3;1;
13,5;28,4;56,8;3,5;1;
8,1;20,3;16;2,3;2;
0,6;30,5;74,4;5,3;0;
3;28,4;61,6;4,5;1;
11,1;23,9;6,8;2,9;2;
7,8;18,2;29,6;4,3;1;
11,7;28,1;8;5,5;1;
11,1;31,4;91,6;3,7;0;
12,3;19,1;60;5,3;1;
11,7;27,5;92;1,1;0;
0,6;30,5;42;6,1;1;
13,8;26,3;42,4;2,5;2;
11,1;20,9;0,4;4,3;1;
2,1;27,2;2;4,9;1;
6,3;30,2;6,8;1,3;1;
6,6;27,2;16,4;3,9;1;
7,8;24,5;2;1,9;2;
0,9;23,3;50,8;1,3;2;
9,9;29,3;67,6;3,7;1;
10,5;18,8;24,4;5,9;1;
4,8;29,6;27,2;4,1;1;
4,5;17,3;50,4;1,3;2;
1,5;26,9;70,8;2,1;0;
7,8;25,7;56;5,3;1;
3;27,5;48;4,5;1;
11,1;23;84,8;5,3;0;
12,3;17;53,2;4,3;1;
5,7;26;50;3,1;2;
9,3;28,4;86,4;4,5;0;
11,7;19,7;70;3,9;1;
2,1;27,2;2,8;4,9;1;
1,5;17;75,6;1,9;0;
6,9;23,3;8,8;3,3;2;
0,9;27,5;4,8;4,1;1;
8,1;29,3;51,6;4,5;1;
6;17,3;46,4;1,1;2;
0,9;18,5;90,4;3,7;0;
2,4;28,7;81,2;3,3;0;
5,1;27,2;63,6;2,1;2;
6,3;21,5;4;2,1;2;
2,7;18,2;76,8;3,3;0;
1,2;20;40;1,1;2;
7,8;26,9;68,4;2,3;2;
9,9;32,9;81,6;3,3;0;
13,5;30,8;8,8;5,7;1;
4,8;23,9;78;4,7;0;
7,5;20,3;31,6;5,5;1;
6,6;21,5;44;1,3;2;
11,7;31,7;52,4;5,3;1;
3,3;23,6;55,2;1,7;2;
12,6;28,1;94,4;4,5;0;
6,6;21,5;44;1,3;2;
10,8;23,9;99,6;2,3;0;
0,3;26,6;45,2;5,1;1;
13,8;23,3;22;2,1;2;
6,3;19,7;0;5,3;1;
10,5;29,9;85,2;3,1;0;
10,8;25,4;2;3,3;2;
10,2;22,1;90;4,1;0;
1,5;17;67,2;3,5;2;
4,2;30,8;76,4;3,7;0;
7,5;25,1;78;5,9;0;
9,6;18,8;41,6;2,7;2;
7,2;30,8;54;3,3;1;
2,7;32;17,2;2,1;1;
12,6;26,6;18;4,1;1;
11,7;29;32,8;4,9;1;
11,4;27,8;70,4;4,3;0;
0,3;17,6;96;3,9;0;
12,3;17;27,6;3,5;2;
2,1;28,4;17,2;4,9;1;
6,3;26,3;19,6;5,7;1;
0,6;30,5;26;5,5;1;
2,7;20,3;63,2;1,9;2;
6,9;17,9;56,4;4,3;1;
0;20,9;54,8;5,1;1;
2,4;20,9;94,4;4,7;0;
1,8;22,1;98;3,3;0;
1,5;28,1;33,6;5,3;1;
6;30,2;10;1,3;1;
12,9;30,2;72,8;2,1;0;
11,7;22,4;40,4;2,9;2;
1,5;20,6;57,2;6,1;1;
5,1;27,2;63,6;2,1;2;
1,8;22,1;98;3,3;0;
5,1;25,4;56,4;5,5;1;
10,8;27,2;56,8;3,9;1;
0;19,7;16,8;5,1;1;
1,8;17,3;99,6;2,1;0;
11,7;27,8;58,4;1,5;2;
6;19,1;17,6;1,1;2;
1,2;32,3;62,4;1,7;1;
12;23,9;20,8;2,9;2;
12;20,9;80;6,1;0;
5,7;26;50;3,1;2;
9,3;22,7;61,2;2,9;2;
0,3;27,2;70,4;2,3;0;
1,2;23,9;34,8;5,7;1;
7,5;20,3;31,6;5,5;1;
7,2;26,6;32,8;1,9;2;
8,4;25,7;88,4;3,7;0;
12;17;46;6,1;1;
0,3;19,1;56,8;2,3;2;
11,1;20,3;41,6;4,7;1;
1,5;20,6;13,2;1,1;2;
4,2;20;49,6;1,7;2;
9,3;24,2;54,4;1,3;2;
11,7;25,4;22,8;2,7;2;
1,2;27,8;43,2;1,7;2;
1,5;22,7;16,4;4,7;1;
5,4;19,4;76,8;2,1;0;
3,9;20;26,8;6,1;1;
11,1;28,1;11,6;1,1;1;
4,5;19,7;13,2;3,5;2;
4,2;19,7;62,8;6,1;1;
11,7;31,7;52,4;5,3;1;
13,8;22,7;70,8;5,1;0;
9,3;26;90,4;5,5;0;
0,3;21,5;77,2;2,9;0;
0;18,8;74,4;3,1;0;
1,5;24,5;91,2;4,7;0;
6,3;25,7;20,4;4,1;1;
1,2;32,9;12,4;2,3;1;
2,1;26,9;36;5,5;1;
1,8;29,3;1,2;3,1;1;
7,5;32,3;12,8;2,3;1;
8,1;28,1;28,4;4,3;1;
5,1;27,8;46,8;2,7;2;
0,3;27,8;44,8;1,9;2;
6;31,4;16,4;2,5;1;
9;20,9;64;1,3;2;
1,2;32;58,8;5,1;1;
12,3;17,9;88;1,3;0;
11,4;24,2;65,2;6,1;1;
6,3;27,8;84,4;4,9;0;
8,4;26,9;98;2,5;0;
5,4;32,3;48,8;5,5;1;
9,6;29,3;53,6;1,7;1;
10,5;21,2;67,2;5,5;1;
13,2;26,3;97,2;4,5;0;
11,4;20,6;30,4;5,3;1;
3,9;19,7;0;1,9;2;
6,3;18,2;40;1,1;2;
6,3;20;98,4;2,9;0;
9;22,4;53,2;5,3;1;
10,5;28,4;73,6;6,1;0;
12;21,8;54,8;6,1;1;
4,8;20,3;10,4;5,5;1;
7,5;23,9;35,6;6,1;1;
12;20,9;64,4;1,5;2;
9,6;18,2;9,6;2,3;2;
5,4;29;86;3,1;0;
0,3;22,1;92;2,9;0;
5,4;20,6;77,2;3,1;0;
12;26,3;73,2;2,5;0;
6,3;20,9;22;5,3;1;
1,5;18,5;82;2,5;0;
6;20;86,8;2,3;0;
2,4;29;75,2;3,5;0;
9,6;27,8;84,4;3,5;0;
0,3;27,5;60,8;6,1;1;
10,5;27,8;5,2;1,3;2;
4,2;21,2;42;5,9;1;
11,4;26,6;60,8;1,1;2;
5,4;28,1;1,6;5,9;1;
10,5;21,2;67,2;5,5;1;
1,2;20,9;58;1,1;2;
6;26;42,4;3,7;1;
9,6;21,8;0,8;5,9;1;
5,4;18,2;88;1,7;0;
3,9;19,7;54,8;1,3;2;
6,6;32,6;42;3,9;1;
6,3;31,1;23,6;3,3;1;
6,3;30,2;37,2;5,5;1;
0,9;19,7;70;4,7;1;
7,8;17;94,4;5,3;0;
12;28,4;67,6;5,7;1;
3,9;23,9;68;2,3;2;
9,3;31,1;63,2;5,5;1;
6,6;30,2;21,2;3,5;1;
0,6;25,4;95,6;3,1;0;
10,5;28,4;73,6;6,1;0;
2,1;30,8;24,8;5,3;1;
9,9;21,2;14;3,9;1;
9,3;29,3;16;4,3;1;
6;18,8;6,8;2,9;2;
5,1;24,8;67,6;2,9;2;
13,2;17,9;62;2,5;2;
6,6;23;89,6;5,5;0;
1,2;24,2;78,8;4,7;0;
9,3;21,8;5,2;4,5;1;
0,3;32,3;61,6;4,5;1;
12,3;26,3;31,6;4,5;1;
7,2;23,6;35,2;2,3;2;
0,3;29;88,8;4,5;0;
5,4;20,6;77,2;3,1;0;
3,6;18,2;30,8;5,3;1;
11,1;25,1;3,2;3,5;2;
0,9;25,7;45,2;3,3;2;
7,8;26,9;72,8;4,1;0;
11,7;23,6;91,2;1,3;0;
0,6;26,6;26;2,1;2;
0;32,6;84;4,9;0;
13,5;25,7;42,4;5,5;1;
13,2;26,6;42;4,3;1;
13,2;22,1;2,4;3,9;1;
1,8;20,6;90,8;3,5;0;
10,8;21,2;84,4;4,5;0;
10,5;32;91,6;1,3;0;
10,5;23,6;71,6;4,5;0;
6;24,8;10,8;4,7;1;
0,9;29,6;87,2;2,7;0;
0,9;29,6;87,2;2,7;0;
11,1;23,3;1,2;4,3;1;
11,7;26,6;71,2;3,1;0;
1,2;29;95,2;1,1;0;
0,6;30,2;56,4;4,1;1;
0,9;18,5;90,4;4,7;0;
5,7;18,5;80,4;1,3;0;
10,5;32,6;15,6;4,9;1;
11,7;27,8;3,2;6,1;1;
8,1;29,3;51,6;4,5;1;
6,3;31,1;23,6;3,3;1;
2,4;31,4;31,2;4,9;1;
3;17,3;84,4;1,5;0;
11,7;31,1;27,2;3,1;1;
1,5;20,3;86;3,9;0;
0;31,1;58,4;5,7;1;
6;32,9;56,8;1,5;1;
1,8;20,3;68,8;4,9;1;
12;27,5;24,4;2,5;2;
2,1;32,6;27,6;4,1;1;
0,3;32;95,2;5,9;0;
6,6;28,4;28;5,1;1;
13,5;19,1;72;3,3;0;
0,9;25,1;76,4;5,5;0;
3;27,8;70,4;5,5;0;
10,5;23,6;26,8;4,9;1;
9;31,4;7,6;5,7;1;
13,2;19,1;9,6;4,1;1;
12,9;18,8;15,6;2,9;2;
5,4;31,7;46,4;4,5;1;
7,5;26,6;92,4;5,1;0;
12,6;32,3;47,6;4,3;1;
9,9;23;47,2;1,5;2;
0,3;18,5;18,8;5,5;1;
3,3;29,9;18,4;3,1;1;
7,2;26,6;57,2;3,1;2;
10,8;19,7;78,4;3,5;0;
13,5;29,6;60;4,9;1;
10,2;23,3;46,8;4,5;1;
9;25,4;88,4;3,7;0;
1,2;18,5;38;4,3;1;
13,5;17;5,6;3,5;2;
12,6;28,4;43,6;1,7;1;
1,8;31,1;71,6;1,7;0;
6;29;64;4,1;1;
13,2;22,7;95,6;3,9;0;
10,5;32,6;16,8;3,1;1;
9,6;26,6;40;2,9;2;
0,9;18,5;90,4;4,7;0;
2,1;24,5;1,2;3,1;2;
1,5;32,3;47,6;1,7;1;
7,2;20;5,2;2,1;2;
9,6;23;16,8;4,7;1;
5,7;24,8;39,6;1,7;2;
1,5;19,1;23,2;2,7;2;
9,9;30,5;8,8;4,9;1;
5,4;21,2;67,2;5,7;1;
4,2;20;47,2;1,5;2;
2,7;26,9;41,2;3,9;1;
9,6;17,6;72,8;1,5;0;
5,4;28,7;7,2;2,7;1;
12;23,3;82,4;1,3;0;
3,3;23,6;26,4;5,5;1;
4,5;19,1;84,4;1,5;0;
7,5;17,9;93,6;5,1;0;
12,6;28,1;65,2;4,3;1;
1,2;26,6;36;4,1;1;
2,4;22,1;4,8;3,9;1;
6,9;17,9;56,4;4,3;1;
1,8;25,7;33,2;3,9;1;
2,1;28,7;66,4;1,3;1;
2,1;27,2;2,8;4,9;1;
12;20;59,2;3,3;2;
13,2;31,1;32,8;1,9;1;
0,3;26;10,8;2,5;2;
4,5;29;31,2;3,9;1;
0,3;17,6;63,6;2,7;2;
7,5;31,4;60;3,7;1;
12,6;29;40,4;3,1;1;
12,3;32;28,4;5,7;1;
1,2;18,8;23,6;1,1;2;
13,5;23,3;20;5,7;1;
6,3;18,5;16;4,3;1;
5,1;25,4;56,4;5,5;1;
4,5;18,2;56,4;3,1;2;
9,6;23;98;4,3;0;
2,4;29,3;14;4,1;1;
8,7;19,4;78,4;3,3;0;
6,6;26;77,6;3,1;0;
9,9;24,5;59,2;2,1;2;
3,9;29,9;68,8;3,5;1;
12;20;68;2,1;2;
8,1;32,3;94;4,7;0;
6,3;26,6;79,2;3,5;0;
2,1;24,2;23,2;2,5;2;
1,5;18,2;30,8;1,3;2;
9;27,2;9,6;4,3;1;
12;25,7;54,8;2,7;2;
13,8;19,1;67,6;4,7;1;
2,1;31,1;61,6;1,3;1;
9,6;32,3;84,8;4,9;0;
9,3;27,5;91,2;4,3;0;
2,1;27,2;2;4,9;1;
6,3;31,4;31,6;3,1;1;
8,4;21,8;20;6,1;1;
0,6;24,8;71,6;2,7;0;
6,9;28,4;68,8;1,3;1;
9,3;29;91,2;2,9;0;
0,6;23;16;3,1;2;
1,8;22,1;98;3,3;0;
0,9;17;80;4,7;0;
2,4;20,6;2,4;1,1;2;
9,6;17;10,8;5,1;1;
4,8;29,6;74,4;4,9;0;
13,8;26,3;2,8;3,3;2;
6,6;23,6;37,6;5,5;1;
9,6;31,7;57,6;5,7;1;
8,4;30,2;15,2;2,7;1;
6;32;63,2;2,7;1;
12,3;29,3;70;2,3;1;
6,9;23,9;56;4,5;1;
3,6;17,9;85,2;5,5;0;
5,1;24,5;98,4;3,3;0;
5,7;32,3;25,6;3,3;1;
11,7;31,1;27,2;3,1;1;
13,2;30,5;44;3,7;1;
10,2;22,1;51,6;2,7;2;
3;29,3;38;4,5;1;
5,4;31,4;51,6;4,7;1;
7,5;22,4;59,6;2,3;2;
1,5;31,7;38,8;1,9;1;
10,8;28,1;62,4;1,3;1;
10,8;31,4;36,4;2,7;1;
7,8;17;93,6;1,5;0;
11,4;21,8;52;1,3;2;
11,1;31,7;73,6;4,5;0;
3,6;24,2;8,8;5,1;1;
0,9;20,6;36,8;1,7;2;
7,5;32,3;12,8;2,3;1;
13,5;17,9;82,4;4,5;0;
6,3;17,3;98,8;4,9;0;
5,1;31,4;99,2;4,5;0;
13,8;27,5;28;3,3;2;
12;27,5;24,4;2,5;2;
0,3;17,9;33,2;2,9;2;
13,5;29,6;60;4,9;1;
6,9;17;63,2;4,7;1;
6,6;21,2;74;2,5;0;
5,4;22,4;7,6;3,9;1;
8,7;28,1;24,8;2,5;1;
10,2;20,6;21,2;3,1;2;
0,9;24,5;63,6;5,5;1;
8,1;29,3;51,6;4,5;1;
0,3;19,1;65,2;2,9;2;
7,2;26;11,2;4,7;1;
6,9;30,5;41,6;1,5;1;
12;25,7;54,8;2,7;2;
6,9;19,1;86,4;2,7;0;
9,9;26,3;0,4;4,1;1;
10,8;31,7;98;2,5;0;
12;28,4;12,8;1,1;1;
13,8;23,3;49,2;2,3;2;
7,8;25,7;45,6;2,1;2;
9,6;25,7;52;3,5;2;
7,5;23;7,6;2,1;2;
1,5;28,4;99,2;2,1;0;
13,5;25,7;42,4;5,5;1;
5,1;30,8;62,4;1,9;1;
5,1;31,1;98,4;4,7;0;
6,3;29,3;56;2,3;1;
3;29,3;24;2,7;1;
11,4;22,1;34,8;3,3;2;
12,6;25,4;24;4,7;1;
10,5;17,3;88,8;1,3;0;
10,2;17;2;4,3;1;
0,6;21,8;60,4;3,1;2;
3,6;31,4;28,8;6,1;1;
8,7;30,8;97,2;4,7;0;
0,3;17,6;60,8;3,7;1;
10,2;23,3;16;3,9;1;
3,6;21,5;52;1,9;2;
0;20,3;2;1,1;2;
9,6;28,1;7,6;5,7;1;
4,5;27,8;17,6;2,1;2;
1,8;22,1;98;3,3;0;
7,5;23,3;49,2;1,1;2;
0,9;20;86,4;2,9;0;
2,7;27,2;30,8;5,9;1;
2,7;27,8;20,8;5,9;1;
7,5;17;44,4;5,3;1;
10,8;29,3;57,2;5,5;1;
5,4;28,1;1,6;5,9;1;
4,8;21,2;2,8;6,1;1;
5,4;28,4;69,2;3,1;1;
4,5;27,8;17,6;2,1;2;
10,2;23,9;78,4;4,9;0;
0;22,7;87,6;3,7;0;
11,7;26,9;11,6;3,5;2;
3;19,4;10;5,5;1;
12,6;27,2;66,4;6,1;1;
6;29,3;54,8;4,1;1;
8,4;24,2;30,4;5,5;1;
2,7;17,6;81,2;4,7;0;
4,8;29,6;27,2;4,1;1;
13,5;21,5;71,2;3,1;0;
9,3;20,6;84;4,1;0;
8,1;29,6;79,2;4,3;0;
0,9;23,3;50,8;1,3;2;
7,5;17,6;86,4;3,3;0;
0,9;18,5;53,6;1,7;2;
0;22,7;87,6;3,7;0;
10,8;18,8;54,8;3,5;2;
10,8;30,5;33,6;2,9;1;
4,5;20;52;1,9;2;
1,8;28,1;61,6;6,1;1;
11,1;26,3;68,4;3,7;1;
12,3;20;8;6,1;1;
9;18,8;61,6;1,9;2;
13,5;30,2;1,6;1,7;1;
11,1;31,7;73,6;4,5;0;
12,9;25,4;47,2;2,9;2;
8,1;32;41,2;2,3;1;
8,1;18,5;72,4;5,1;0;
7,2;26,3;13,2;5,5;1;
9;27,2;9,6;4,3;1;
0,6;25,1;84,8;3,1;0;
2,1;21,5;19,6;5,3;1;
13,2;29,3;86,8;5,5;0;
10,5;25,4;8,8;2,9;2;
6,3;32,3;20,4;2,9;1;
10,2;28,1;38;3,1;1;
11,7;22,4;40,4;2,9;2;
4,2;18,5;16,8;2,5;2;
9,9;30,5;55,6;1,3;1;
0;31,7;18,8;4,9;1;
10,2;27,2;88;2,3;0;
6,9;28,1;54,8;4,3;1;
5,4;20;50,4;2,1;2;
9,6;24,2;78,8;3,5;0;
0,6;17;74;1,7;0;
4,5;31,7;44,8;2,3;1;
13,5;26;8;3,3;2;
12,6;17,9;41,2;3,3;2;
10,8;20,9;86,8;3,7;0;
13,8;23,3;22;2,1;2;
10,2;32;96;3,3;0;
6,6;30,5;8;3,1;1;
9,9;23;36,8;4,3;1;
13,2;22,7;18,8;3,9;1;
2,7;29,6;60,4;5,3;1;
4,2;20;24;6,1;1;
9,6;19,1;3,2;4,9;1;
2,1;18,8;33,6;1,7;2;
9;19,4;40,4;4,3;1;
8,1;18,5;99,2;5,3;0;
7,8;23,9;98,4;4,7;0;
3,9;31,1;38,4;3,9;1;
13,2;21,5;18,8;1,1;2;
12,6;27,2;66,4;6,1;1;
8,7;20,9;68,4;6,1;1;
5,1;32,9;62,4;3,7;1;
7,8;24,8;89,2;5,5;0;
9;25,4;88,4;3,7;0;
0,3;21,8;39,2;4,5;1;
8,4;32,6;53,2;2,9;1;
5,7;28,1;54;1,3;1;
3,3;30,8;52,4;2,1;1;
9,9;20;84,8;5,5;0;
0,6;24,2;58,4;1,5;2;
0,6;32,9;40,4;2,7;1;
12;25,1;25,2;4,3;1;
9;26,9;2;3,3;2;
10,8;17;28;2,7;2;
9;17,6;64;2,5;2;
5,7;29,3;38,4;5,7;1;
7,2;31,4;5,6;4,3;1;
4,5;19,7;13,2;3,5;2;
1,2;27,8;43,2;1,7;2;
0;32,6;8;1,9;1;
5,1;30,5;62,4;3,7;1;
11,1;27,2;82,4;6,1;0;
10,8;29,3;48,8;5,9;1;
5,4;26,3;52,4;1,3;2;
6,9;30,5;41,6;1,5;1;
11,1;28,1;42,8;5,1;1;
13,8;25,7;31,6;4,7;1;
11,4;32,9;8;2,7;1;
0,9;18,5;53,6;1,7;2;
7,2;28,1;97,2;3,5;0;
2,1;32;0,8;6,1;1;
3;23,6;63,2;3,3;2;
9,3;22,7;69,2;4,7;1;
12,3;29;91,6;2,9;0;
13,8;27,5;28;3,3;2;
4,8;28,7;21,2;1,9;1;
2,1;27,2;2;4,9;1;
3,9;17;68;4,5;1;
11,1;19,1;54,4;2,7;2;
5,7;23,9;47,6;5,3;1;
12,9;27,2;74;4,9;0;
1,2;31,4;4;5,9;1;
3,3;29,3;22;2,5;1;
13,2;17,9;70;1,7;2;
13,2;17,9;62;2,5;2;
0,3;19,1;56,8;2,3;2;
1,2;32;58,8;5,1;1;
6,6;27,2;16,4;3,9;1;
6,3;17;24,4;4,9;1;
3;22,1;83,6;5,1;0;
10,5;28,4;73,6;6,1;0;
1,5;32,3;66;3,9;1;
3;19,4;10;5,5;1;
9,9;23;47,2;1,5;2;
12,9;24,2;54;1,7;2;
9,6;30,8;54;6,1;1;
9;31,7;38,4;5,5;1;
1,8;28,7;82,8;4,5;0;
11,4;24,2;81,6;5,9;0;
9,9;32,6;13,2;3,3;1;
7,8;21,5;85,2;2,3;0;
4,2;22,4;82;2,7;0;
2,7;18,2;76,8;3,3;0;
3,6;20,9;4;4,1;1;
13,8;21,8;56,8;5,7;1;
0;24,5;79,6;1,9;0;
10,2;28,1;38;3,1;1;
6,9;27,5;17,2;2,7;2;
1,8;29,3;81,6;1,1;0;
7,5;17,9;93,6;5,1;0;
4,2;26,9;68;5,7;1;
8,7;20;42,8;1,9;2;
7,2;20,9;53,6;4,3;1;
2,7;20,3;63,2;1,9;2;
1,2;24,5;53,6;6,1;1;
7,2;24,2;69,2;2,5;2;
3,9;31,1;87,6;5,9;0;
2,1;26,3;2,4;4,9;1;
0,9;17;58;2,9;2;
6,9;22,4;24;3,9;1;
7,2;17,6;62,8;3,1;2;
3,3;23,6;38,4;2,9;2;
12,3;29,6;46,8;5,3;1;
10,5;25,7;72,4;4,5;0;
9,9;32,9;81,6;3,3;0;
7,8;20;12,4;1,9;2;
11,7;27,5;92;1,1;0;
9;22,4;53,2;5,3;1;
3,6;26,3;21,6;2,9;2;
7,8;24,5;2;1,9;2;
6,3;22,1;59,2;5,9;1;
9,6;24,2;38,8;4,1;1;
9,6;17;96,4;3,1;0;
7,8;20;12,4;1,9;2;
9,9;30,5;55,6;1,3;1;
1,8;22,1;64,8;2,5;2;
1,5;17,9;46,8;4,9;1;
12,9;18,5;97,2;3,7;0;
0,9;24,5;63,6;5,5;1;
6,9;25,4;98,4;2,7;0;
2,1;18,8;36,4;5,1;1;
4,5;22,4;49,6;5,1;1;
3,3;17,6;41,6;1,5;2;
5,4;26,3;52,4;1,3;2;
10,5;30,5;1,2;4,3;1;
0;32,6;84;4,9;0;
10,5;22,1;89,6;3,7;0;
1,5;28,1;33,6;5,3;1;
6;31,4;16,4;2,5;1;
0,9;23,3;50,8;1,3;2;
10,2;25,7;58,8;5,1;1;
13,5;29,9;74,8;5,5;0;
11,1;21,5;48,8;5,9;1;
6,3;22,1;29,2;3,5;2;
6,6;29,3;35,6;5,1;1;
9,3;20;95,6;1,3;0;
7,8;20,3;54,8;5,1;1;
9,6;26,3;63,2;1,9;2;
1,8;17,9;84,4;4,3;0;
10,2;20,3;40,8;4,5;1;
1,2;32,3;62,4;1,7;1;
5,4;31,4;99,2;1,1;0;
2,1;26,9;2,4;4,9;1;
13,8;28,7;32;2,1;1;
11,1;20,3;42,4;2,3;2;
8,1;30,8;52,4;2,1;1;
4,5;29,6;50;4,1;1;
12,3;21,5;76;3,1;0;
5,1;27,8;46,8;2,7;2;
6,6;22,4;12;2,9;2;
12,3;20;8;6,1;1;
1,8;21,2;88;4,3;0;
7,5;25,7;51,2;3,1;2;
9,3;32,9;68,4;1,3;1;
7,5;22,7;50;3,9;1;
9,6;28,1;7,6;5,7;1;
5,7;28,1;54;1,3;1;
1,5;17;47,2;3,9;1;
13,8;19,4;60,8;5,7;1;
7,8;18,8;77,2;6,1;0;
12;27,5;24,4;2,5;2;
8,1;29;52,4;5,1;1;
6,9;22,7;96;5,3;0;
0;32,6;8;1,9;1;
3,6;30,8;59,2;1,9;1;
3,6;19,7;31,6;1,1;2;
1,2;17;54,4;4,5;1;
13,2;30,2;86;1,1;0;
12;23,9;20,8;2,9;2;
10,2;26,3;6;2,5;2;
1,5;32,9;21,2;4,3;1;
5,7;26,6;7,2;3,5;2;
12,3;21,5;76;3,1;0;
0;30,2;35,6;5,3;1;
0,3;26;10,8;2,5;2;
9,9;28,1;45,6;4,9;1;
6,3;26,9;23,6;2,7;2;
7,8;31,7;38;6,1;1;
9,9;27,8;31,6;1,3;2;
2,7;28,4;46;3,5;1;
9;26;4;2,3;2;
5,7;26;50;3,1;2;
7,8;26,9;72,8;4,1;0;
9,6;29;26,8;5,5;1;
7,2;21,8;35,2;2,7;2;
4,8;29,9;90;5,9;0;
13,5;19,4;45,6;3,9;1;
6,6;32,6;23,6;2,3;1;
13,8;19,4;13,6;4,3;1;
11,1;21,8;81,6;6,1;0;
10,8;29,3;48,8;5,9;1;
5,4;28,7;61,6;5,5;1;
5,4;29,3;2;4,3;1;
1,5;31,4;1,6;5,1;1;
4,8;24,2;83,2;4,9;0;
2,7;27,8;13,2;5,1;1;
9;28,7;15,2;4,9;1;
7,8;26;82,4;2,9;0;
0;26;84;3,5;0;
3,9;17,9;71,6;3,3;0;
11,4;27,8;54,4;5,7;1;
13,2;21,8;44;3,3;2;
2,1;18,8;33,6;1,7;2;
4,2;20;66;3,5;2;
1,8;22,1;9,6;2,5;2;
9,9;27,2;37,6;2,7;2;
10,5;32,3;6,4;2,3;1;
6,9;23,6;48,4;1,5;2;
10,2;29,3;67,6;2,5;1;
11,7;26,6;71,2;3,1;0;
0,3;21,8;39,2;4,5;1;
5,4;20,6;24,4;4,9;1;
7,8;26,9;72,8;4,1;0;
1,8;27,2;84;3,9;0;
0;27,8;62,8;4,5;1;
3,3;23,6;38,4;2,9;2;
0;30,2;35,6;5,3;1;
10,2;25,7;7,6;3,7;1;
10,8;29,3;38,4;2,3;1;
3;24,8;50,8;5,5;1;
11,1;31,4;90;1,7;0;
6,6;22,4;12;2,9;2;
12,9;19,4;71,6;4,1;0;
1,5;31,4;77,6;3,7;0;
2,1;23,3;20,8;5,5;1;
0,3;23,6;21,2;4,3;1;
3,6;24,2;8,8;5,1;1;
6,9;26;30,4;3,9;1;
13,2;23,3;70,4;2,5;0;
2,1;18,8;33,6;1,7;2;
7,8;19,4;79,2;2,7;0;
7,2;24,2;69,2;2,5;2;
2,1;28,7;66,4;1,3;1;
6,6;24,8;83,2;5,7;0;
1,5;24,2;50,4;2,5;2;
11,4;21,2;80,8;4,1;0;
6,6;29;19,2;3,5;1;
1,8;29,3;1,2;3,1;1;
7,8;19,7;86,4;5,3;0;
6,6;26,9;95,2;1,5;0;
2,4;26,9;11,2;5,1;1;
5,7;26;11,6;5,1;1;
13,8;26,6;2,4;4,9;1;
6,3;24,5;7,6;3,7;1;
5,4;23;72,8;1,1;0;
8,7;32,3;23,2;5,1;1;
12;23,9;20,8;2,9;2;
11,1;17;62,4;3,5;2;
10,2;25,4;56,4;5,5;1;
13,5;28,4;56,8;3,5;1;
3,9;32,9;78,4;1,1;0;
5,4;26;20,8;4,3;1;
4,5;21,5;61,6;4,5;1;
12;21,8;50,8;1,3;2;
9,9;30,2;0,4;1,7;1;
12,9;22,4;72,4;1,9;0;
9;29;8;1,3;1;
2,7;21,5;36,4;3,3;2;
11,7;27,8;19,2;4,1;1;
2,1;21,5;75,6;5,7;0;
11,7;29,3;40,8;2,1;1;
11,4;23;10;2,3;2;
8,4;23;58,8;1,7;2;
11,1;20;77,6;3,3;0;
7,2;22,7;59,6;1,9;2;
9,3;20,6;84;4,1;0;
1,5;24,2;50,4;2,5;2;
11,1;28,7;12,8;3,3;1;
3,3;27,2;78;5,1;0;
3,6;25,7;47,2;2,7;2;
2,4;30,5;50,4;1,9;1;
2,4;27,8;35,2;4,1;1;
4,8;19,1;57,2;4,7;1;
0,3;25,1;88;3,9;0;
6,9;21,2;62;3,1;2;
7,2;17,6;33,2;4,5;1;
10,5;21,2;76,8;2,1;0;
8,4;32,6;53,2;2,9;1;
13,2;17,9;61,2;2,1;2;
0,9;18,8;13,6;5,7;1;
11,4;27,2;0;1,7;2;
2,7;27,2;98,4;1,5;0;
1,8;22,1;64,8;2,5;2;
3,9;26,3;15,2;1,9;2;
10,2;24,5;29,6;2,1;2;
4,2;29;50;3,9;1;
4,5;27,8;17,6;2,1;2;
6;32,6;47,6;4,7;1;
3,6;26;99,6;4,3;0;
5,7;26,6;7,2;3,5;2;
1,5;30,5;9,6;5,1;1;
7,2;27,8;23,2;2,3;2;
12,9;25,4;47,2;2,9;2;
13,5;32,9;43,6;2,7;1;
7,2;26;68,4;3,3;2;
3,3;18,8;16,8;5,7;1;
9,9;17;14,8;1,9;2;
9,6;17,6;72,8;1,5;0;
9,3;26,9;41,2;5,1;1;
7,5;21,2;2,8;2,1;2;
9;26;84,4;1,5;0;
6,6;19,7;19,2;2,7;2;
5,1;24,5;98,4;3,3;0;
6,9;29,3;4;1,9;1;
